fold,n_train,n_test,temperature,train_accuracy,test_accuracy,train_nll_before,train_nll_after
1,1260,316,0.4304057725671506,0.7103174603174603,0.7056962025316456,1.0030899399220923,0.8439636765155376
2,1261,315,0.4257260425707445,0.7097541633624108,0.707936507936508,1.0054009518351532,0.8402199061647271
3,1261,315,0.42783163185868495,0.7081681205392546,0.7142857142857143,1.0085993555948836,0.8480472309825783
4,1261,315,0.4299332132833587,0.7081681205392546,0.7142857142857143,1.0075237271532873,0.8474233508278985
5,1261,315,0.4194666187527977,0.7105471847739889,0.7047619047619048,1.0013341006230005,0.8330192611607191
